source,target
0,58
0,167
0,179
0,212
0,241
0,250
0,263
0,290
0,315
0,326
0,346
0,380
0,400
0,455
1,13
1,17
1,37
1,42
1,69
1,76
1,81
1,131
1,142
1,204
1,226
1,277
1,300
1,366
1,374
1,385
1,409
1,428
1,441
1,455
2,45
2,57
2,127
2,289
2,322
2,385
2,417
2,433
2,460
3,169
3,258
3,417
3,454
4,9
4,77
4,100
4,151
4,312
4,349
4,358
4,390
4,391
4,424
4,451
5,6
5,39
5,59
5,79
5,81
5,173
5,174
5,190
5,210
5,219
5,242
5,252
5,265
5,272
5,278
5,386
6,39
6,314
6,331
6,361
6,421
6,426
7,41
7,63
7,90
7,110
7,227
7,233
7,235
7,351
7,371
8,118
8,126
8,144
8,240
8,299
8,321
8,364
8,408
9,221
9,310
9,319
9,358
9,368
9,425
10,24
10,71
10,112
10,119
10,120
10,184
10,198
10,233
10,238
10,250
10,280
10,323
10,350
10,398
10,435
11,33
11,47
11,59
11,123
11,156
11,166
11,200
11,237
11,252
11,253
11,259
11,271
11,340
11,355
11,363
11,378
11,421
11,447
12,76
12,126
12,228
12,240
12,262
12,322
12,342
12,408
12,440
13,20
13,52
13,154
13,161
13,182
13,230
13,247
13,320
13,409
13,417
14,74
14,136
14,165
14,225
14,245
14,312
14,382
14,436
15,112
15,117
15,130
15,148
15,249
15,344
15,419
15,432
16,32
16,71
16,105
16,148
16,285
16,386
16,390
17,33
17,96
17,218
17,238
17,289
17,364
17,428
18,81
18,83
18,102
18,121
18,187
18,227
18,246
18,275
18,291
18,367
19,29
19,55
19,78
19,146
19,159
19,215
19,233
19,274
19,334
19,348
19,398
19,407
19,429
20,198
20,236
20,251
20,273
20,354
20,367
20,397
20,417
21,65
21,221
21,263
21,382
22,74
22,152
22,232
22,264
22,365
22,377
22,396
23,92
23,105
23,117
23,120
23,166
23,224
23,248
23,271
23,290
23,378
23,399
24,118
24,119
24,123
24,167
24,182
24,212
24,263
24,403
24,450
25,31
25,87
25,121
25,251
25,271
25,282
25,286
25,290
25,388
25,398
25,432
26,74
26,111
26,138
26,366
26,382
26,423
26,424
26,436
27,97
27,117
27,183
27,194
27,214
27,232
27,254
27,286
27,290
27,326
27,332
27,346
27,377
27,399
27,458
28,43
28,201
28,295
28,322
28,347
29,48
29,87
29,146
29,220
29,274
29,337
29,353
29,386
29,449
30,177
30,249
30,262
30,272
30,273
30,288
30,296
30,364
30,440
30,445
31,145
31,249
31,348
31,413
32,92
32,120
32,178
32,201
32,229
32,386
33,39
33,60
33,79
33,104
33,128
33,169
33,170
33,204
33,214
33,218
33,237
33,242
33,259
33,297
33,307
33,322
33,340
33,349
33,374
33,420
34,101
34,115
34,221
34,358
34,436
35,95
35,123
35,195
36,50
36,147
36,249
36,384
36,440
36,445
37,89
37,108
37,131
37,171
37,246
37,314
37,381
37,404
37,444
37,454
37,460
38,213
38,386
38,390
39,200
39,318
39,376
40,64
40,85
40,121
40,124
40,129
40,146
40,158
40,224
40,244
40,314
40,327
40,334
40,337
40,384
40,386
40,411
40,434
41,227
41,263
41,323
41,351
41,389
41,403
41,407
41,439
41,456
41,462
42,57
42,82
42,238
42,340
42,394
42,402
42,454
43,178
43,188
43,286
43,327
43,432
43,444
44,74
44,136
44,194
44,221
44,243
44,281
44,293
44,322
45,64
45,124
45,129
45,148
45,169
45,171
45,182
45,188
45,211
45,218
45,224
45,230
45,364
45,383
45,385
45,393
45,395
45,402
45,405
45,411
45,415
45,432
45,448
45,454
45,460
46,74
46,151
46,281
46,319
46,345
46,346
46,365
46,378
46,382
46,428
46,438
46,454
47,59
47,118
47,126
47,174
47,217
47,252
47,272
47,301
47,322
47,335
47,360
47,369
47,374
47,384
47,430
48,55
48,64
48,73
48,94
48,182
48,197
48,204
48,225
48,290
48,300
48,311
48,314
48,352
48,353
48,408
48,409
49,202
49,215
49,398
49,423
50,51
50,75
50,118
50,215
50,272
50,296
50,322
50,408
51,75
51,149
51,177
51,188
51,228
51,240
51,255
51,286
51,296
52,59
52,61
52,81
52,106
52,175
52,187
52,191
52,236
52,244
52,287
52,301
52,329
52,331
52,355
52,379
52,397
52,415
52,417
52,455
53,331
53,335
53,339
54,369
54,410
54,445
55,67
55,68
55,176
55,325
55,386
56,73
56,156
56,208
56,232
56,237
56,247
56,254
56,341
56,385
57,76
57,127
57,204
57,277
57,454
57,460
58,63
58,64
58,109
58,137
58,177
58,212
58,217
58,227
58,238
58,327
58,341
58,398
58,429
58,439
59,76
59,149
59,265
59,273
59,276
59,355
59,363
59,393
59,410
59,421
60,128
60,237
60,300
61,203
61,226
61,381
61,416
62,73
62,93
62,193
62,229
62,241
62,265
62,271
62,333
62,334
62,396
62,432
62,443
63,107
63,207
63,227
63,238
63,371
63,398
63,450
64,82
64,107
64,120
64,124
64,133
64,164
64,181
64,225
64,271
64,277
64,297
64,338
64,341
64,394
64,409
65,101
65,267
65,312
65,343
65,358
66,185
66,214
66,237
66,253
66,259
66,276
66,343
66,376
66,421
67,164
67,283
67,327
67,343
67,387
68,105
68,107
68,172
68,219
68,283
68,338
68,387
68,449
69,102
69,180
69,192
69,231
69,232
69,246
69,282
69,415
69,417
70,81
70,227
70,290
70,327
70,429
71,124
71,308
71,333
71,364
71,383
71,395
71,400
72,103
72,117
72,123
72,132
72,284
72,348
73,91
73,122
73,128
73,162
73,225
73,340
73,341
73,346
73,378
73,441
74,77
74,111
74,123
74,125
74,151
74,165
74,195
74,209
74,221
74,241
74,340
74,346
74,366
74,425
74,427
75,76
75,228
75,240
75,380
75,410
76,82
76,118
76,147
76,171
76,218
76,225
76,268
76,322
76,340
76,364
76,384
76,402
76,405
76,417
77,138
77,193
77,243
77,343
77,358
77,382
77,438
78,103
78,218
78,266
78,279
78,291
78,312
78,334
78,351
78,371
78,404
78,406
79,99
80,132
80,193
80,195
80,399
81,176
81,178
81,314
81,330
81,372
81,415
82,94
82,133
82,149
82,297
82,344
82,364
82,405
82,414
82,436
82,445
82,460
83,89
83,116
83,282
83,411
84,92
84,105
84,178
84,231
84,233
84,328
84,334
84,395
84,447
85,137
85,242
85,274
85,341
86,112
86,117
86,123
86,130
86,132
86,199
86,218
86,284
86,404
86,457
87,103
87,196
87,197
87,217
87,244
87,251
87,291
87,348
87,418
87,419
87,429
88,112
88,114
88,179
88,227
88,275
88,280
88,315
88,389
89,102
89,116
89,301
89,461
90,110
90,112
90,182
90,309
90,334
90,383
91,171
91,181
91,225
91,237
91,258
91,300
91,336
91,362
91,370
91,405
91,408
91,442
92,124
92,158
92,169
92,285
92,333
92,356
92,395
92,411
93,163
93,229
93,248
