node_id,primary_group,secondary_group,is_influencer,followers,engagement_rate,group_mix,detected_group
0,2,5,False,81,0.076,2-5,0
1,9,7,True,6535,0.03,9-7,3
2,9,9,False,376,0.068,9,3
3,9,9,False,152,0.083,9,3
4,1,1,False,226,0.041,1,7
5,3,6,False,204,0.019,3-6,8
6,6,6,False,383,0.051,6,8
7,2,2,False,292,0.036,2,2
8,10,10,False,108,0.073,10,5
9,1,1,False,50,0.087,1,7
10,2,8,False,196,0.025,2-8,2
11,6,5,False,359,0.068,6-5,8
12,10,10,False,135,0.025,10,11
13,7,9,False,176,0.086,7-9,3
14,1,1,False,215,0.034,1,7
15,4,4,False,377,0.038,4,15
16,8,8,False,81,0.032,8,9
17,9,9,False,229,0.091,9,3
18,7,3,False,56,0.078,7-3,6
19,2,3,False,226,0.064,2-3,1
20,7,8,False,293,0.087,7-8,6
21,1,1,False,463,0.058,1,7
22,5,5,False,160,0.049,5,14
23,8,5,False,400,0.026,8-5,9
24,2,2,False,337,0.056,2,2
25,4,3,False,408,0.093,4-3,1
26,1,1,False,67,0.094,1,7
27,5,4,False,494,0.017,5-4,4
28,8,8,False,282,0.079,8,9
29,3,3,False,94,0.034,3,1
30,10,10,False,286,0.078,10,5
31,4,4,False,353,0.068,4,15
32,8,8,False,136,0.03,8,9
33,6,9,False,122,0.011,6-9,8
34,1,1,False,46,0.056,1,7
35,5,5,False,77,0.075,5,12
36,10,10,False,252,0.083,10,5
37,4,7,False,220,0.052,4-7,6
38,1,1,False,60,0.015,1,10
39,6,6,False,108,0.027,6,8
40,8,3,False,137,0.089,8-3,9
41,2,2,False,291,0.019,2,2
42,9,9,False,484,0.078,9,3
43,4,8,False,452,0.046,4-8,9
44,1,1,False,145,0.093,1,7
45,8,9,False,259,0.024,8-9,3
46,5,1,False,287,0.015,5-1,7
47,6,10,False,480,0.087,6-10,8
48,3,9,False,105,0.016,3-9,3
49,2,2,False,71,0.095,2,1
50,10,10,True,6343,0.048,10,5
51,10,10,False,143,0.028,10,11
52,6,7,False,340,0.037,6-7,6
53,6,6,False,14,0.051,6,8
54,10,10,False,119,0.056,10,11
55,3,3,False,460,0.032,3,1
56,5,9,False,323,0.099,5-9,3
57,9,9,False,349,0.019,9,3
58,3,2,False,89,0.035,3-2,1
59,10,6,False,334,0.087,10-6,8
60,9,9,False,443,0.015,9,8
61,7,7,True,10464,0.079,7,6
62,5,8,False,228,0.06,5-8,9
63,2,3,False,437,0.043,2-3,1
64,9,3,True,10974,0.091,9-3,3
65,1,1,False,137,0.07,1,7
66,6,6,False,218,0.098,6,8
67,3,3,False,93,0.098,3,1
68,3,3,True,17067,0.093,3,1
69,7,7,False,425,0.032,7,6
70,3,3,False,456,0.013,3,1
71,8,8,False,430,0.082,8,9
72,4,4,False,152,0.088,4,20
73,5,9,False,441,0.058,5-9,3
74,1,5,False,145,0.013,1-5,7
75,10,10,False,170,0.049,10,11
76,9,10,False,32,0.074,9-10,3
77,1,1,False,361,0.075,1,7
78,4,2,False,481,0.04,4-2,2
79,6,6,False,470,0.037,6,8
80,5,5,False,366,0.037,5,12
81,3,7,False,472,0.026,3-7,1
82,10,9,False,165,0.036,10-9,3
83,7,7,False,174,0.052,7,6
84,8,8,False,416,0.091,8,9
85,3,3,False,349,0.067,3,3
86,6,4,False,125,0.083,6-4,20
87,3,4,False,322,0.086,3-4,1
88,2,2,False,304,0.027,2,2
89,7,7,False,345,0.072,7,6
90,2,2,False,421,0.096,2,2
91,9,9,False,479,0.086,9,3
92,8,8,False,296,0.064,8,9
93,8,8,False,268,0.048,8,9
94,9,9,False,451,0.053,9,3
95,5,5,False,151,0.079,5,4
96,9,9,False,235,0.017,9,3
97,5,6,False,286,0.017,5-6,8
98,3,3,False,42,0.047,3,1
99,6,6,False,115,0.085,6,8
100,7,7,False,366,0.012,7,6
101,10,1,False,162,0.078,10-1,7
102,7,7,False,419,0.064,7,6
103,4,4,False,258,0.013,4,16
104,6,6,False,380,0.025,6,8
105,8,8,False,283,0.012,8,9
106,7,7,False,52,0.068,7,6
107,3,3,False,143,0.044,3,1
108,4,4,False,460,0.044,4,18
109,7,2,False,393,0.059,7-2,6
110,6,2,False,343,0.014,6-2,2
111,1,1,False,20,0.066,1,7
112,4,2,False,121,0.052,4-2,2
113,5,5,False,320,0.097,5,4
114,2,2,False,169,0.02,2,2
115,1,1,False,474,0.096,1,7
116,7,7,False,313,0.072,7,6
117,4,5,False,317,0.082,4-5,4
118,10,10,False,229,0.07,10,5
119,2,2,False,444,0.048,2,2
120,8,6,False,434,0.051,8-6,8
121,3,3,False,343,0.034,3,1
122,9,9,False,432,0.076,9,3
123,5,4,False,54,0.035,5-4,4
124,8,8,False,352,0.044,8,9
125,1,1,False,259,0.029,1,7
126,5,10,False,151,0.06,5-10,5
127,9,9,False,378,0.047,9,3
128,9,9,False,340,0.074,9,3
129,8,8,False,123,0.046,8,9
130,4,10,False,293,0.058,4-10,15
131,7,7,False,190,0.073,7,6
132,5,4,False,108,0.038,5-4,20
133,9,9,False,108,0.029,9,3
134,8,10,False,278,0.064,8-10,8
135,2,2,False,194,0.026,2,2
136,1,1,False,33,0.098,1,7
137,9,3,False,395,0.054,9-3,3
138,1,1,False,235,0.041,1,7
139,1,8,False,43,0.046,1-8,9
140,2,2,False,87,0.023,2,2
141,10,10,False,137,0.021,10,8
142,7,7,False,125,0.08,7,6
143,7,7,False,450,0.063,7,6
144,7,10,False,388,0.019,7-10,6
145,4,4,False,51,0.024,4,18
146,3,3,False,219,0.051,3,1
147,10,10,True,9720,0.074,10,5
148,8,4,False,413,0.081,8-4,15
149,10,10,False,227,0.02,10,8
150,4,4,False,433,0.023,4,21
151,1,5,False,432,0.061,1-5,7
152,5,5,False,165,0.073,5,14
153,5,5,False,51,0.064,5,24
154,7,7,False,23,0.018,7,6
155,10,10,True,17529,0.071,10,5
156,5,5,False,99,0.052,5,12
157,8,8,False,309,0.049,8,9
158,8,8,False,219,0.04,8,9
159,2,2,False,365,0.055,2,6
160,7,7,False,242,0.018,7,6
161,5,7,False,432,0.099,5-7,6
162,9,9,False,275,0.043,9,3
163,8,8,False,114,0.034,8,6
164,3,3,False,367,0.054,3,1
165,1,1,False,132,0.074,1,7
166,5,5,False,57,0.03,5,13
167,2,2,False,436,0.024,2,2
168,5,5,False,437,0.053,5,4
169,8,9,False,107,0.093,8-9,3
170,9,9,False,45,0.035,9,3
171,7,9,False,11,0.035,7-9,3
172,5,5,False,347,0.054,5,4
173,3,3,False,180,0.06,3,8
174,9,6,False,367,0.031,9-6,8
175,7,7,True,17201,0.053,7,6
176,7,3,False,28,0.021,7-3,6
177,10,2,False,235,0.019,10-2,1
178,8,3,False,345,0.097,8-3,9
179,2,2,False,183,0.066,2,2
180,7,7,False,446,0.071,7,6
181,9,6,False,464,0.078,9-6,8
182,9,2,False,360,0.093,9-2,3
183,4,4,False,60,0.078,4,16
184,2,2,False,472,0.013,2,2
185,6,6,False,201,0.049,6,8
186,4,4,False,415,0.026,4,22
187,3,7,False,133,0.055,3-7,6
188,10,8,False,245,0.033,10-8,5
189,1,1,False,157,0.071,1,10
190,3,6,False,163,0.068,3-6,8
191,7,7,False,164,0.028,7,6
192,7,7,False,205,0.061,7,19
193,10,5,True,18599,0.069,10-5,5
194,5,1,False,391,0.055,5-1,7
195,5,5,False,420,0.042,5,12
196,4,4,False,379,0.079,4,20
197,3,3,False,340,0.014,3,1
198,8,6,False,56,0.092,8-6,8
199,6,6,False,77,0.081,6,8
200,6,6,False,435,0.025,6,8
201,8,8,False,455,0.04,8,9
202,2,2,False,396,0.097,2,2
203,7,7,False,197,0.018,7,6
204,7,9,False,198,0.071,7-9,3
205,5,5,False,491,0.043,5,12
206,4,4,False,492,0.061,4,23
207,10,2,False,247,0.092,10-2,2
208,5,5,False,33,0.095,5,12
209,5,5,False,130,0.09,5,4
210,3,6,False,390,0.073,3-6,8
211,9,9,False,89,0.09,9,3
212,2,2,False,490,0.096,2,1
213,1,1,False,237,0.096,1,10
214,6,6,False,340,0.042,6,8
215,7,2,False,431,0.051,7-2,6
216,4,4,False,20,0.015,4,26
217,6,3,False,115,0.016,6-3,8
218,9,4,False,129,0.04,9-4,3
219,3,3,False,151,0.087,3,1
220,3,3,False,418,0.026,3,1
221,1,6,False,131,0.063,1-6,7
222,1,1,False,225,0.057,1,7
223,2,2,False,272,0.063,2,2
224,8,8,False,32,0.075,8,9
225,9,1,False,255,0.086,9-1,3
226,7,7,False,475,0.05,7,6
227,2,3,False,150,0.066,2-3,1
228,10,10,False,315,0.058,10,11
229,8,8,False,416,0.073,8,9
230,9,9,False,241,0.09,9,3
231,7,8,False,383,0.019,7-8,6
232,7,5,False,88,0.072,7-5,6
233,8,2,False,59,0.077,8-2,9
234,6,6,False,310,0.096,6,8
235,9,2,False,457,0.07,9-2,2
236,7,7,False,157,0.064,7,6
237,6,9,False,346,0.053,6-9,8
238,2,9,False,400,0.035,2-9,2
239,4,4,False,402,0.084,4,21
240,10,10,False,321,0.094,10,11
241,5,5,False,168,0.093,5,0
242,6,3,False,215,0.016,6-3,8
243,1,9,False,224,0.051,1-9,7
244,3,6,False,300,0.064,3-6,1
245,1,10,True,6336,0.034,1-10,7
246,7,7,False,149,0.029,7,6
247,9,7,False,357,0.071,9-7,3
248,8,8,False,122,0.046,8,9
249,10,4,False,118,0.079,10-4,15
250,5,2,True,17239,0.049,5-2,2
251,3,4,False,436,0.07,3-4,1
252,6,1,False,245,0.093,6-1,8
253,6,6,False,373,0.068,6,8
254,5,1,False,97,0.082,5-1,4
255,10,10,False,195,0.018,10,7
256,2,10,False,50,0.046,2-10,2
257,5,5,False,408,0.025,5,4
258,9,9,False,109,0.092,9,3
259,6,3,False,84,0.033,6-3,8
260,3,3,False,345,0.017,3,1
261,8,8,False,306,0.05,8,8
262,10,10,False,175,0.088,10,11
263,6,2,False,333,0.037,6-2,2
264,5,5,False,47,0.038,5,14
265,8,6,False,49,0.068,8-6,8
266,2,2,False,246,0.062,2,2
267,1,1,False,343,0.027,1,7
268,10,10,False,41,0.051,10,17
269,6,6,False,340,0.026,6,8
270,4,4,False,278,0.057,4,16
271,3,5,False,406,0.04,3-5,3
272,10,6,False,58,0.06,10-6,8
273,7,10,False,180,0.017,7-10,5
274,3,3,False,345,0.073,3,1
275,7,2,False,202,0.068,7-2,6
276,6,6,False,434,0.095,6,8
277,9,7,False,19,0.043,9-7,3
278,3,3,False,402,0.054,3,1
279,4,4,False,161,0.086,4,2
280,2,2,False,388,0.09,2,2
281,1,1,False,326,0.022,1,7
282,7,3,False,404,0.066,7-3,1
283,3,3,True,10968,0.071,3,1
284,4,4,False,395,0.077,4,20
285,8,4,False,424,0.081,8-4,9
286,4,10,False,246,0.079,4-10,3
287,7,7,False,92,0.084,7,6
288,10,5,False,256,0.089,10-5,5
289,9,9,False,274,0.087,9,3
290,5,3,False,473,0.056,5-3,1
291,7,4,False,462,0.041,7-4,6
292,1,1,False,201,0.031,1,7
293,2,1,False,60,0.086,2-1,2
294,6,6,False,156,0.093,6,8
295,8,8,False,371,0.052,8,9
296,10,2,True,8533,0.085,10-2,5
297,9,9,False,226,0.02,9,3
298,5,2,True,11878,0.068,5-2,9
299,10,10,False,473,0.055,10,5
300,9,9,False,377,0.023,9,3
301,7,6,False,223,0.027,7-6,8
302,2,2,False,498,0.057,2,2
303,9,9,False,20,0.045,9,3
304,8,7,False,139,0.077,8-7,6
305,6,6,False,385,0.069,6,8
306,2,2,False,180,0.022,2,2
307,6,6,False,99,0.085,6,8
308,8,8,False,103,0.083,8,9
309,2,2,False,28,0.036,2,2
310,1,1,False,171,0.094,1,7
311,9,9,False,28,0.078,9,3
312,4,1,False,179,0.035,4-1,7
313,6,6,False,235,0.091,6,8
314,7,3,False,264,0.043,7-3,6
315,9,2,False,50,0.049,9-2,3
316,3,3,False,50,0.04,3,1
317,5,10,False,95,0.072,5-10,4
318,6,6,False,476,0.042,6,8
319,7,1,False,336,0.047,7-1,7
320,9,9,False,497,0.013,9,3
321,10,10,False,74,0.016,10,5
322,6,10,True,7513,0.071,6-10,8
323,6,2,False,281,0.043,6-2,8
324,6,6,False,68,0.012,6,8
325,3,3,False,297,0.021,3,1
326,5,5,False,323,0.036,5,0
327,8,3,False,241,0.026,8-3,1
328,8,8,False,442,0.099,8,9
329,6,6,False,158,0.09,6,8
330,3,3,False,336,0.026,3,1
331,6,6,False,112,0.081,6,8
332,4,4,True,14077,0.062,4,17
333,8,8,False,323,0.09,8,9
334,2,8,False,403,0.047,2-8,9
335,10,6,False,240,0.052,10-6,8
336,9,9,False,103,0.079,9,3
337,3,3,False,38,0.085,3,1
338,9,3,False,488,0.074,9-3,3
339,6,6,False,155,0.086,6,8
