node_id,primary_group,secondary_group,is_influencer,followers,engagement_rate,group_mix,detected_group
0,2,5,False,81,0.076,2-5,0
1,9,7,True,6535,0.03,9-7,28
2,9,9,False,376,0.068,9,25
3,9,9,False,152,0.083,9,28
4,1,1,False,226,0.041,1,10
5,3,6,False,204,0.019,3-6,18
6,6,6,False,383,0.051,6,21
7,2,2,False,292,0.036,2,19
8,10,10,False,108,0.073,10,20
9,1,1,False,50,0.087,1,5
10,2,8,False,196,0.025,2-8,19
11,6,5,False,359,0.068,6-5,21
12,10,10,False,135,0.025,10,20
13,7,9,False,176,0.086,7-9,28
14,1,1,False,215,0.034,1,5
15,4,4,False,377,0.038,4,42
16,8,8,False,81,0.032,8,42
17,9,9,False,229,0.091,9,28
18,7,3,False,56,0.078,7-3,41
19,2,3,False,226,0.064,2-3,18
20,7,8,False,293,0.087,7-8,41
21,1,1,False,463,0.058,1,5
22,5,5,False,160,0.049,5,5
23,8,5,False,400,0.026,8-5,42
24,2,2,False,337,0.056,2,19
25,4,3,False,408,0.093,4-3,18
26,1,1,False,67,0.094,1,5
27,5,4,False,494,0.017,5-4,0
28,8,8,False,282,0.079,8,42
29,3,3,False,94,0.034,3,18
30,10,10,False,286,0.078,10,20
31,4,4,False,353,0.068,4,18
32,8,8,False,136,0.03,8,42
33,6,9,False,122,0.011,6-9,28
34,1,1,False,46,0.056,1,5
35,5,5,False,77,0.075,5,5
36,10,10,False,252,0.083,10,20
37,4,7,False,220,0.052,4-7,41
38,1,1,False,60,0.015,1,10
39,6,6,False,108,0.027,6,21
40,8,3,False,137,0.089,8-3,18
41,2,2,False,291,0.019,2,19
42,9,9,False,484,0.078,9,28
43,4,8,False,452,0.046,4-8,42
44,1,1,False,145,0.093,1,5
45,8,9,False,259,0.024,8-9,28
46,5,1,False,287,0.015,5-1,5
47,6,10,False,480,0.087,6-10,20
48,3,9,False,105,0.016,3-9,28
49,2,2,False,71,0.095,2,19
50,10,10,True,6343,0.048,10,20
51,10,10,False,143,0.028,10,20
52,6,7,False,340,0.037,6-7,41
53,6,6,False,14,0.051,6,21
54,10,10,False,119,0.056,10,20
55,3,3,False,460,0.032,3,18
56,5,9,False,323,0.099,5-9,28
57,9,9,False,349,0.019,9,25
58,3,2,False,89,0.035,3-2,18
59,10,6,False,334,0.087,10-6,21
60,9,9,False,443,0.015,9,28
61,7,7,True,10464,0.079,7,41
62,5,8,False,228,0.06,5-8,42
63,2,3,False,437,0.043,2-3,18
64,9,3,True,10974,0.091,9-3,40
65,1,1,False,137,0.07,1,13
66,6,6,False,218,0.098,6,21
67,3,3,False,93,0.098,3,18
68,3,3,True,17067,0.093,3,18
69,7,7,False,425,0.032,7,41
70,3,3,False,456,0.013,3,18
71,8,8,False,430,0.082,8,42
72,4,4,False,152,0.088,4,19
73,5,9,False,441,0.058,5-9,28
74,1,5,False,145,0.013,1-5,5
75,10,10,False,170,0.049,10,20
76,9,10,False,32,0.074,9-10,28
77,1,1,False,361,0.075,1,17
78,4,2,False,481,0.04,4-2,19
79,6,6,False,470,0.037,6,21
80,5,5,False,366,0.037,5,0
81,3,7,False,472,0.026,3-7,18
82,10,9,False,165,0.036,10-9,40
83,7,7,False,174,0.052,7,41
84,8,8,False,416,0.091,8,42
85,3,3,False,349,0.067,3,18
86,6,4,False,125,0.083,6-4,19
87,3,4,False,322,0.086,3-4,18
88,2,2,False,304,0.027,2,19
89,7,7,False,345,0.072,7,41
90,2,2,False,421,0.096,2,19
91,9,9,False,479,0.086,9,28
