node_id,primary_group,secondary_group,is_influencer,followers,engagement_rate,group_mix,detected_group
0,10,9,False,393,0.014,10-9,60
1,5,9,False,139,0.075,5-9,60
2,2,2,False,321,0.023,2,20
3,10,10,False,99,0.07,10,54
4,7,7,False,336,0.095,7,125
5,2,2,False,212,0.055,2,22
6,6,6,False,430,0.073,6,77
7,1,4,False,374,0.075,1-4,97
8,8,8,False,317,0.044,8,23
9,2,2,False,339,0.018,2,22
10,6,9,False,46,0.086,6-9,71
11,2,2,False,372,0.021,2,11
12,8,8,False,171,0.089,8,23
13,10,10,False,495,0.076,10,48
14,10,10,False,95,0.094,10,43
15,6,6,False,238,0.083,6,83
16,9,9,False,227,0.032,9,60
17,9,9,False,361,0.026,9,60
18,5,5,False,294,0.073,5,119
19,5,5,False,342,0.085,5,101
20,10,10,False,433,0.014,10,54
21,6,8,False,407,0.058,6-8,23
22,3,3,False,128,0.099,3,33
23,10,1,True,6370,0.03,10-1,48
24,10,10,False,265,0.03,10,50
25,7,7,False,164,0.012,7,125
26,9,9,False,427,0.032,9,60
27,9,6,False,53,0.04,9-6,70
28,1,1,False,234,0.096,1,1
29,3,10,False,303,0.025,3-10,39
30,6,7,False,232,0.091,6-7,84
31,3,1,False,126,0.044,3-1,1
32,9,9,False,202,0.021,9,67
33,5,8,False,434,0.016,5-8,125
34,5,5,False,471,0.017,5,101
35,10,10,False,363,0.07,10,48
36,10,10,False,197,0.057,10,54
37,3,3,False,415,0.036,3,33
38,2,2,False,70,0.011,2,14
39,5,8,False,235,0.045,5-8,125
40,3,3,False,381,0.01,3,33
41,6,6,False,425,0.02,6,84
42,4,4,False,121,0.024,4,98
43,1,1,False,404,0.073,1,1
44,3,9,False,121,0.063,3-9,60
45,9,9,False,87,0.034,9,71
46,4,10,True,14419,0.056,4-10,54
47,9,9,False,172,0.046,9,60
48,5,10,False,474,0.056,5-10,54
49,3,5,False,289,0.07,3-5,125
50,3,3,False,443,0.052,3,33
51,8,4,False,203,0.077,8-4,31
52,8,8,False,187,0.065,8,23
53,10,3,False,473,0.085,10-3,48
54,7,10,False,260,0.087,7-10,49
55,6,6,False,437,0.098,6,84
56,1,1,False,195,0.013,1,4
57,7,7,False,145,0.05,7,125
58,2,2,False,274,0.019,2,22
59,4,4,False,204,0.088,4,100
60,5,5,False,398,0.016,5,131
61,8,6,False,307,0.021,8-6,82
62,5,5,False,459,0.083,5,101
63,10,4,False,397,0.07,10-4,54
64,1,5,False,327,0.087,1-5,4
65,5,5,True,6522,0.086,5,119
66,5,8,False,25,0.074,5-8,29
67,10,10,False,212,0.066,10,49
68,9,8,False,349,0.023,9-8,60
69,8,5,False,113,0.018,8-5,125
70,2,2,False,451,0.069,2,13
71,9,2,False,418,0.062,9-2,71
72,8,8,False,311,0.02,8,23
73,6,6,False,146,0.058,6,84
74,7,7,False,330,0.063,7,125
75,4,4,False,498,0.054,4,97
76,1,1,False,59,0.078,1,4
77,1,1,False,279,0.011,1,7
78,8,8,False,279,0.041,8,27
79,2,6,False,348,0.056,2-6,13
80,7,7,False,309,0.052,7,125
81,10,10,False,364,0.019,10,49
82,3,4,False,235,0.019,3-4,97
83,7,1,False,186,0.067,7-1,8
84,5,5,False,95,0.092,5,101
85,9,9,False,362,0.084,9,60
86,3,3,False,268,0.037,3,33
87,10,1,False,65,0.087,10-1,4
88,6,6,False,65,0.039,6,84
89,9,8,False,14,0.021,9-8,60
90,10,8,False,444,0.016,10-8,49
91,7,9,False,244,0.071,7-9,60
92,3,3,False,458,0.035,3,33
93,10,10,False,266,0.027,10,49
94,7,7,False,497,0.032,7,125
95,3,2,False,323,0.041,3-2,21
96,7,7,False,397,0.098,7,125
97,8,7,False,379,0.02,8-7,23
98,2,10,False,491,0.021,2-10,49
99,1,2,False,433,0.053,1-2,15
100,1,1,False,214,0.02,1,4
101,3,3,False,384,0.021,3,33
102,3,3,False,217,0.096,3,34
103,7,7,False,364,0.099,7,125
104,4,10,False,193,0.044,4-10,54
105,3,8,False,157,0.062,3-8,23
106,10,10,False,378,0.024,10,49
107,4,4,False,246,0.035,4,89
108,10,3,False,230,0.074,10-3,54
109,8,8,False,311,0.06,8,32
