source,target
0,97
0,195
0,280
0,308
0,329
0,371
0,465
0,498
1,27
1,31
1,37
1,94
1,148
1,187
1,196
1,205
1,207
1,217
1,263
1,303
1,326
1,349
1,351
1,431
1,448
1,450
1,459
2,44
2,106
2,274
2,275
2,279
2,283
2,308
2,312
2,378
2,382
2,413
2,436
2,487
3,18
3,49
3,104
3,115
3,163
3,232
3,258
3,266
3,279
3,318
3,346
3,392
3,409
3,460
3,481
4,7
4,57
4,90
4,219
4,251
4,361
4,451
5,203
5,332
5,346
5,370
5,411
5,446
6,91
6,155
6,196
6,244
6,301
6,405
6,477
7,37
7,39
7,168
7,216
7,251
7,287
7,310
7,312
7,331
7,361
7,363
7,377
7,413
7,437
7,438
8,18
8,25
8,181
8,201
8,203
8,220
8,333
8,434
8,454
8,488
9,20
9,35
9,183
9,293
9,325
9,331
9,427
9,433
9,477
9,481
10,117
10,189
10,196
10,230
10,379
10,421
11,180
11,306
11,451
12,28
12,40
12,50
12,78
12,195
12,208
12,274
12,275
12,305
12,436
13,24
13,52
13,57
13,187
13,230
13,234
13,254
13,301
13,306
13,414
13,448
13,467
14,19
14,31
14,325
14,472
15,60
15,73
15,79
15,119
15,154
15,156
15,192
15,201
15,248
15,251
15,259
15,277
15,296
15,298
15,301
15,418
15,464
15,490
15,496
16,39
16,48
16,129
16,165
16,189
16,211
16,292
16,299
16,318
16,333
16,336
16,345
16,378
16,426
16,446
16,469
16,473
16,481
17,128
17,178
17,199
17,243
17,279
17,302
17,343
17,457
17,488
18,163
18,203
18,207
18,219
18,220
18,292
18,300
18,320
18,348
18,352
18,429
18,481
19,122
19,230
19,298
19,325
19,337
19,418
20,31
20,48
20,77
20,81
20,227
20,319
20,325
20,375
20,395
20,398
20,401
20,423
20,472
20,485
20,486
21,173
21,285
21,306
21,348
21,363
21,395
21,416
21,441
22,133
22,243
22,369
22,492
23,63
23,66
23,116
23,118
23,174
23,221
23,343
23,362
23,420
24,51
24,69
24,151
24,155
24,156
24,182
24,189
24,246
24,256
24,315
24,333
24,351
