node_id,primary_group,secondary_group,is_influencer,followers,engagement_rate,group_mix,detected_group
0,5,5,False,427,0.093,5,0
1,1,7,False,239,0.01,1-7,1
2,5,6,False,401,0.09,5-6,0
3,5,6,False,401,0.048,5-6,0
4,9,9,False,427,0.05,9,4
5,6,6,False,18,0.097,6,5
6,7,7,False,459,0.091,7,3
7,9,6,False,301,0.051,9-6,4
8,8,6,False,374,0.046,8-6,5
9,3,3,False,128,0.049,3,2
10,7,7,False,407,0.066,7,1
11,9,9,False,76,0.044,9,4
12,5,5,False,476,0.087,5,0
13,3,1,False,105,0.064,3-1,1
14,7,7,False,75,0.011,7,2
15,7,8,False,301,0.063,7-8,3
16,3,6,False,312,0.092,3-6,2
17,10,10,False,478,0.076,10,6
18,9,6,False,386,0.053,9-6,4
19,7,7,False,263,0.051,7,2
20,3,7,True,6989,0.032,3-7,2
21,9,9,False,423,0.033,9,4
22,10,10,False,112,0.064,10,7
23,4,4,False,89,0.099,4,8
24,7,1,False,158,0.037,7-1,1
25,8,8,False,325,0.075,8,3
26,2,2,False,343,0.07,2,7
27,1,1,False,298,0.016,1,1
28,5,4,False,304,0.055,5-4,0
29,3,3,False,250,0.022,3,2
30,10,10,False,177,0.085,10,6
31,7,3,False,15,0.04,7-3,2
32,3,3,False,435,0.031,3,2
33,10,10,False,229,0.065,10,6
34,2,2,False,473,0.066,2,7
35,3,3,False,433,0.08,3,2
36,1,1,False,215,0.058,1,1
37,1,6,False,488,0.01,1-6,1
38,10,10,False,279,0.049,10,6
39,6,6,False,401,0.069,6,2
40,5,5,True,9061,0.082,5,0
41,5,5,False,93,0.039,5,0
42,2,2,False,326,0.038,2,7
43,7,1,False,263,0.028,7-1,1
44,3,6,False,224,0.018,3-6,2
45,10,10,False,33,0.023,10,6
46,6,6,False,308,0.064,6,5
47,2,2,False,109,0.029,2,7
48,1,3,False,446,0.1,1-3,2
49,5,5,False,321,0.01,5,0
50,5,5,True,17284,0.096,5,0
51,7,7,False,171,0.099,7,3
52,1,1,False,174,0.017,1,1
53,10,8,False,480,0.072,10-8,3
54,6,4,False,95,0.088,6-4,8
55,10,5,False,108,0.097,10-5,0
56,1,1,False,416,0.042,1,1
57,1,9,False,383,0.076,1-9,1
58,2,8,False,377,0.082,2-8,7
59,7,7,False,351,0.021,7,3
60,7,8,False,11,0.015,7-8,3
61,1,1,False,420,0.011,1,1
62,5,5,False,151,0.099,5,0
63,4,4,False,289,0.023,4,8
64,2,2,True,8424,0.063,2,7
65,7,7,False,388,0.076,7,3
66,4,4,False,288,0.06,4,8
67,5,5,False,20,0.069,5,0
68,9,9,False,174,0.024,9,4
69,6,7,False,233,0.074,6-7,3
70,4,4,False,185,0.075,4,5
71,3,4,False,249,0.037,3-4,2
72,1,1,False,37,0.079,1,1
73,7,7,False,319,0.06,7,3
74,1,1,True,16132,0.074,1,1
75,10,10,False,439,0.075,10,6
76,5,5,False,112,0.071,5,0
77,3,3,False,59,0.04,3,2
78,5,5,False,185,0.025,5,0
79,7,2,False,345,0.046,7-2,7
80,5,5,False,354,0.099,5,0
81,3,4,False,250,0.071,3-4,2
82,8,8,False,374,0.035,8,3
83,8,8,False,39,0.088,8,3
84,3,3,False,50,0.05,3,2
85,2,2,False,303,0.041,2,7
86,4,4,False,415,0.054,4,8
87,7,7,False,218,0.026,7,3
88,6,6,False,482,0.01,6,5
89,4,4,False,206,0.017,4,8
90,9,3,False,426,0.06,9-3,2
91,8,7,False,34,0.04,8-7,3
92,1,1,False,132,0.049,1,1
93,1,3,False,464,0.068,1-3,2
94,7,1,False,310,0.021,7-1,1
95,4,4,False,94,0.015,4,8
96,4,4,False,79,0.012,4,5
97,5,4,False,245,0.078,5-4,0
98,10,10,False,128,0.087,10,6
99,10,10,False,210,0.014,10,6
100,10,10,False,78,0.088,10,6
101,8,8,False,348,0.039,8,3
102,5,5,False,80,0.014,5,0
103,5,5,False,154,0.072,5,0
104,6,2,False,18,0.067,6-2,5
105,2,2,False,188,0.067,2,7
106,9,5,False,213,0.098,9-5,4
107,3,3,False,361,0.043,3,2
108,2,2,False,171,0.073,2,7
109,7,7,False,225,0.086,7,3
110,5,5,True,5171,0.037,5,0
111,3,3,False,217,0.011,3,2
112,4,2,False,196,0.012,4-2,7
113,6,6,False,44,0.05,6,1
114,2,2,False,171,0.048,2,7
115,6,6,False,201,0.022,6,6
116,5,4,False,177,0.038,5-4,8
117,10,7,False,384,0.077,10-7,6
118,4,6,False,479,0.052,4-6,8
119,1,8,False,487,0.076,1-8,1
120,9,9,False,232,0.097,9,4
121,5,5,False,119,0.049,5,0
122,7,7,False,109,0.089,7,3
123,10,10,False,296,0.051,10,6
124,9,9,False,249,0.014,9,4
125,3,3,False,365,0.053,3,2
126,8,8,False,145,0.032,8,3
127,1,1,False,105,0.025,1,1
128,10,8,False,107,0.087,10-8,3
129,3,3,False,255,0.029,3,2
130,3,7,False,30,0.027,3-7,3
131,9,9,False,400,0.025,9,4
132,7,7,False,245,0.044,7,3
133,10,10,False,234,0.053,10,7
134,4,4,False,124,0.075,4,8
135,6,6,True,8904,0.072,6,5
136,1,1,False,10,0.016,1,1
137,10,3,False,160,0.022,10-3,2
138,5,5,False,312,0.057,5,0
139,10,8,False,174,0.088,10-8,3
140,6,6,False,74,0.091,6,5
141,1,1,False,233,0.061,1,1
142,10,10,False,123,0.021,10,3
143,1,1,False,155,0.099,1,1
144,4,4,False,398,0.049,4,8
145,3,3,False,249,0.052,3,2
146,4,4,False,381,0.056,4,8
147,1,1,False,162,0.076,1,1
148,1,1,False,116,0.06,1,1
149,1,1,False,170,0.025,1,1
150,9,9,False,157,0.018,9,4
151,1,1,False,162,0.076,1,1
152,3,3,False,355,0.068,3,2
153,7,7,False,269,0.025,7,3
154,8,8,False,484,0.01,8,3
155,7,7,True,5655,0.032,7,3
156,7,9,False,192,0.067,7-9,3
157,7,7,False,494,0.047,7,3
158,2,8,False,314,0.054,2-8,7
159,10,9,False,310,0.073,10-9,4
160,10,10,False,439,0.059,10,6
161,5,5,False,49,0.033,5,0
162,9,9,False,327,0.09,9,4
163,6,5,False,419,0.07,6-5,0
164,3,3,False,233,0.037,3,2
165,3,4,False,141,0.09,3-4,2
166,2,3,False,309,0.073,2-3,2
167,9,9,False,453,0.092,9,4
168,6,6,False,183,0.031,6,4
169,1,2,False,240,0.049,1-2,7
170,3,4,False,281,0.073,3-4,2
171,5,5,False,433,0.09,5,0
172,3,8,False,366,0.054,3-8,2
173,9,9,False,475,0.097,9,4
174,4,4,False,342,0.053,4,8
175,6,6,False,158,0.016,6,6
176,9,2,False,112,0.073,9-2,7
177,5,5,False,166,0.052,5,0
178,10,10,False,148,0.045,10,6
179,6,6,False,329,0.034,6,1
180,7,9,False,11,0.087,7-9,3
181,8,7,False,35,0.086,8-7,3
182,1,1,False,52,0.045,1,1
183,3,7,False,471,0.039,3-7,2
184,8,8,False,152,0.04,8,3
185,9,9,False,394,0.078,9,4
186,8,3,False,230,0.035,8-3,2
187,1,9,False,276,0.081,1-9,1
188,7,7,False,159,0.071,7,1
189,6,7,False,176,0.02,6-7,5
190,3,3,False,143,0.016,3,2
191,9,9,False,161,0.01,9,4
192,4,7,False,228,0.012,4-7,8
193,4,4,False,454,0.014,4,8
194,2,2,False,219,0.027,2,7
195,10,5,False,118,0.056,10-5,0
196,7,1,False,180,0.076,7-1,1
197,9,9,False,25,0.098,9,4
198,5,5,False,352,0.062,5,0
199,10,10,False,431,0.065,10,6
200,10,10,False,430,0.091,10,6
201,8,5,False,88,0.06,8-5,0
202,2,7,False,279,0.011,2-7,7
203,6,6,False,191,0.078,6,5
204,7,7,False,270,0.098,7,3
205,1,1,False,337,0.096,1,1
206,10,1,False,309,0.085,10-1,1
207,9,7,True,16751,0.066,9-7,3
208,5,1,False,56,0.042,5-1,1
209,9,9,False,180,0.057,9,4
210,10,10,True,8132,0.086,10,6
211,3,2,False,235,0.07,3-2,2
212,8,7,False,322,0.043,8-7,3
213,2,2,False,470,0.048,2,7
214,5,5,False,379,0.024,5,0
215,1,1,False,76,0.086,1,1
216,6,6,False,212,0.073,6,5
217,5,7,False,341,0.079,5-7,0
218,3,3,False,387,0.068,3,2
219,9,10,False,94,0.051,9-10,4
220,8,9,False,444,0.098,8-9,4
221,4,4,False,103,0.086,4,8
222,4,4,False,358,0.018,4,8
223,2,2,False,467,0.082,2,7
224,2,2,False,160,0.08,2,7
225,7,7,False,298,0.038,7,3
226,10,10,False,487,0.048,10,6
227,3,8,False,122,0.069,3-8,3
228,2,2,False,306,0.012,2,7
229,3,3,False,357,0.084,3,2
230,1,7,False,149,0.089,1-7,1
231,9,9,False,353,0.09,9,4
232,5,5,False,307,0.039,5,0
233,5,8,False,170,0.038,5-8,0
234,10,10,False,459,0.088,10,6
235,9,9,True,12412,0.077,9,4
236,8,8,False,43,0.039,8,3
237,10,10,False,271,0.099,10,6
238,7,9,False,144,0.06,7-9,4
239,8,8,False,450,0.024,8,3
240,1,1,False,87,0.031,1,1
241,7,7,False,489,0.067,7,3
242,10,6,False,290,0.089,10-6,6
