node_id,primary_group,secondary_group,is_influencer,followers,engagement_rate,group_mix,detected_group
0,10,9,False,393,0.014,10-9,0
1,5,9,False,139,0.075,5-9,0
2,2,2,False,321,0.023,2,0
3,10,10,False,99,0.07,10,0
4,7,7,False,336,0.095,7,0
5,2,2,False,212,0.055,2,0
6,6,6,False,430,0.073,6,0
7,1,4,False,374,0.075,1-4,0
8,8,8,False,317,0.044,8,0
9,2,2,False,339,0.018,2,0
10,6,9,False,46,0.086,6-9,0
11,2,2,False,372,0.021,2,0
12,8,8,False,171,0.089,8,0
13,10,10,False,495,0.076,10,0
14,10,10,False,95,0.094,10,0
15,6,6,False,238,0.083,6,0
16,9,9,False,227,0.032,9,0
17,9,9,False,361,0.026,9,0
18,5,5,False,294,0.073,5,0
19,5,5,False,342,0.085,5,0
20,10,10,False,433,0.014,10,0
21,6,8,False,407,0.058,6-8,0
22,3,3,False,128,0.099,3,0
23,10,1,True,6370,0.03,10-1,0
24,10,10,False,265,0.03,10,0
25,7,7,False,164,0.012,7,0
26,9,9,False,427,0.032,9,0
27,9,6,False,53,0.04,9-6,0
28,1,1,False,234,0.096,1,0
29,3,10,False,303,0.025,3-10,0
30,6,7,False,232,0.091,6-7,0
31,3,1,False,126,0.044,3-1,0
32,9,9,False,202,0.021,9,0
33,5,8,False,434,0.016,5-8,0
34,5,5,False,471,0.017,5,0
35,10,10,False,363,0.07,10,0
36,10,10,False,197,0.057,10,0
37,3,3,False,415,0.036,3,0
38,2,2,False,70,0.011,2,0
39,5,8,False,235,0.045,5-8,0
40,3,3,False,381,0.01,3,0
41,6,6,False,425,0.02,6,0
42,4,4,False,121,0.024,4,0
43,1,1,False,404,0.073,1,0
44,3,9,False,121,0.063,3-9,0
45,9,9,False,87,0.034,9,0
46,4,10,True,14419,0.056,4-10,0
47,9,9,False,172,0.046,9,0
48,5,10,False,474,0.056,5-10,0
49,3,5,False,289,0.07,3-5,0
50,3,3,False,443,0.052,3,0
51,8,4,False,203,0.077,8-4,0
52,8,8,False,187,0.065,8,0
53,10,3,False,473,0.085,10-3,0
54,7,10,False,260,0.087,7-10,0
55,6,6,False,437,0.098,6,0
56,1,1,False,195,0.013,1,0
57,7,7,False,145,0.05,7,0
58,2,2,False,274,0.019,2,0
59,4,4,False,204,0.088,4,0
60,5,5,False,398,0.016,5,0
61,8,6,False,307,0.021,8-6,0
62,5,5,False,459,0.083,5,0
63,10,4,False,397,0.07,10-4,0
64,1,5,False,327,0.087,1-5,0
65,5,5,True,6522,0.086,5,0
66,5,8,False,25,0.074,5-8,0
67,10,10,False,212,0.066,10,0
68,9,8,False,349,0.023,9-8,0
69,8,5,False,113,0.018,8-5,0
70,2,2,False,451,0.069,2,0
71,9,2,False,418,0.062,9-2,0
72,8,8,False,311,0.02,8,0
73,6,6,False,146,0.058,6,0
74,7,7,False,330,0.063,7,0
75,4,4,False,498,0.054,4,0
76,1,1,False,59,0.078,1,0
77,1,1,False,279,0.011,1,0
78,8,8,False,279,0.041,8,0
79,2,6,False,348,0.056,2-6,0
80,7,7,False,309,0.052,7,0
81,10,10,False,364,0.019,10,0
82,3,4,False,235,0.019,3-4,0
83,7,1,False,186,0.067,7-1,0
84,5,5,False,95,0.092,5,0
85,9,9,False,362,0.084,9,0
86,3,3,False,268,0.037,3,0
87,10,1,False,65,0.087,10-1,0
88,6,6,False,65,0.039,6,0
89,9,8,False,14,0.021,9-8,0
90,10,8,False,444,0.016,10-8,0
91,7,9,False,244,0.071,7-9,0
92,3,3,False,458,0.035,3,0
93,10,10,False,266,0.027,10,0
94,7,7,False,497,0.032,7,0
95,3,2,False,323,0.041,3-2,0
96,7,7,False,397,0.098,7,0
97,8,7,False,379,0.02,8-7,0
98,2,10,False,491,0.021,2-10,0
99,1,2,False,433,0.053,1-2,0
100,1,1,False,214,0.02,1,0
101,3,3,False,384,0.021,3,0
102,3,3,False,217,0.096,3,0
103,7,7,False,364,0.099,7,0
104,4,10,False,193,0.044,4-10,0
105,3,8,False,157,0.062,3-8,0
106,10,10,False,378,0.024,10,0
107,4,4,False,246,0.035,4,0
108,10,3,False,230,0.074,10-3,0
109,8,8,False,311,0.06,8,0
110,9,10,False,416,0.055,9-10,0
111,7,5,False,403,0.041,7-5,0
112,1,5,False,116,0.034,1-5,0
113,3,7,False,181,0.069,3-7,0
114,3,3,False,50,0.011,3,0
115,2,2,False,111,0.022,2,0
116,9,9,False,138,0.031,9,0
117,8,5,False,144,0.065,8-5,0
118,9,9,False,243,0.025,9,0
119,4,4,False,251,0.048,4,0
120,7,7,False,210,0.077,7,0
121,10,10,False,449,0.037,10,0
122,4,4,False,129,0.076,4,0
123,3,3,False,440,0.078,3,0
124,5,2,False,184,0.077,5-2,0
125,9,5,False,65,0.061,9-5,0
126,7,2,False,436,0.051,7-2,0
127,7,7,False,413,0.096,7,0
128,10,2,False,440,0.013,10-2,0
129,7,7,True,13439,0.057,7,0
130,7,10,False,121,0.068,7-10,0
131,10,10,False,79,0.057,10,0
132,9,9,False,116,0.028,9,0
133,6,6,False,250,0.087,6,0
134,6,6,False,209,0.046,6,0
135,7,9,False,146,0.067,7-9,0
136,1,1,False,291,0.097,1,0
137,6,6,False,197,0.026,6,0
138,2,8,False,340,0.089,2-8,0
139,10,4,False,478,0.034,10-4,0
140,9,9,False,252,0.014,9,0
141,9,9,True,11597,0.023,9,0
